Model,Accuracy,Accuracy_std,Balanced Accuracy,Balanced Accuracy_std,Macro F1,Macro F1_std,Weighted F1,Time (s)
Logistic Regression (balanced),0.948450347881088,0.010587441580920638,0.9164860259315685,0.028154641846918516,0.9285427554773227,0.021603338544124842,0.9477535355461374,1.2292664051055908
Linear SVM,0.9518637513656489,0.009682847735576134,0.8998956336936959,0.036275151103802056,0.9256485996687424,0.0251548520342395,0.9507090317112205,12.214603662490845
Logistic Regression,0.9442815249266863,0.010463113284837544,0.8899933878883692,0.04348695842542282,0.9154129015628543,0.028774912171686512,0.9429236278821111,0.9060862064361572
Hist Gradient Boosting,0.9423803979069634,0.006630121761303047,0.8935613689344886,0.03965040745990713,0.9114005181696936,0.030802953769480283,0.9414371747859842,352.4162485599518
MLP (neural net),0.9257043873267783,0.00988881731321416,0.8299115805994486,0.044599817568956056,0.868169096019799,0.03943536865501573,0.9220185675651912,7.34404182434082
Random Forest (balanced),0.9094006957621759,0.011778081543107569,0.8081382794697877,0.04873084923301606,0.8465773347634507,0.040923982974695836,0.9041747757321336,32.75937509536743
RBF SVM (balanced),0.9408659651543904,0.008826611835522712,0.8009604048238927,0.04223614524803194,0.8433862958326136,0.03701383075044419,0.9372495056808792,25.312988996505737
Random Forest,0.9169807659134035,0.009096438267042949,0.7832399424447607,0.024294132419663262,0.8282640342507405,0.023852901375551856,0.9123603092816983,32.98114228248596
RBF SVM,0.9310088551549651,0.0019135160813372979,0.7201101347763961,0.026471113571440885,0.7529627288641032,0.03928516193800759,0.9218415287542229,24.928529262542725
k-NN (k=15),0.5178174055545972,0.021086858690131532,0.2636488970588235,0.043764018374619365,0.2507271312102358,0.03534772037649439,0.3928842091114092,0.5362050533294678
