Model,B cells,CD14+ Monocytes,CD4 T cells,CD8 T cells,Dendritic cells,FCGR3A+ Monocytes,Megakaryocytes,NK cells
Logistic Regression,0.9927628249367381,0.9641299370933861,0.9631185863944485,0.8255941877731836,0.8282051282051283,0.9134382566585957,0.9199999999999999,0.9160542914413542
Logistic Regression (balanced),0.9956198155830567,0.9668695358679571,0.965399126853357,0.8437898317147792,0.8671794871794871,0.9127474106792117,0.96,0.9167368359407329
Linear SVM,0.9913644964341206,0.9693213947555298,0.9677694461671755,0.8541366150994574,0.8526340326340327,0.913566675308962,0.9199999999999999,0.9363961369506608
RBF SVM,0.979914851427405,0.9477467608508613,0.9620552481067632,0.8223692554027616,0.13333333333333333,0.8624049950996617,0.4,0.9158773866920396
RBF SVM (balanced),0.9825840629306299,0.9571175595911339,0.9651886234328815,0.8463648919421555,0.517979797979798,0.893055603400431,0.6599999999999999,0.9247998273838786
Random Forest,0.9838309510425022,0.9271300513477048,0.9509655163082826,0.7864229354665214,0.6390054390054389,0.77403109990814,0.6599999999999999,0.9047262809273331
Random Forest (balanced),0.9791254328387546,0.92347892581647,0.9458797736046538,0.7521708212787536,0.6727716727716728,0.7487362637362638,0.86,0.8904557880610369
Hist Gradient Boosting,0.9927002665793514,0.9609963239851222,0.9614763660555745,0.8256648058701485,0.8691391941391942,0.8835632543019282,0.86,0.9376639344262296
k-NN (k=15),0.005797101449275362,0.5956941745059638,0.6443257737266476,0.0,0.0,0.0,0.76,0.0
MLP (neural net),0.9808020597538988,0.9518259560857579,0.9526615930872195,0.7776482973913803,0.6666666666666666,0.8630696237448969,0.86,0.8926785714285714
